ID_Topico,Topico
74,"jugador, montpellier, encuentro, shakira, bengala, lanzamiento, piqué, estadio, mosson, thomas"
75,"empresa, país, colombia, mercado, compañía, marca, año, cencosud, cadena, colombiano"
76,"billón, colombia, presidenta, grupo, maría, cencosud, negocio, claudia, vicepresidenta, país"
77,"tienda, número, producto, colombiano, país, marca, eléctrico, cadena, tumba, rincón"
78,"farc, régimen, grupo, vivienda, subsidio, mercado, tienda, afiliado, proceso, departamento"
79,"empresa, merco, talento, año, medina, puesto, johnson, heder, buseta, posición"
80,"jugador, artesano, diseñador, club, torné, carroza, flor, elía, carnaval, rincón"
81,"marca, grupo, valioso, subgrupo, casilla, conformado, sisbén, lugar, persona, cerveza"
82,"local, querer, huila, temblor, video, dejar, esposa, fallecido, coronel, barrio"
83,"construcción, joven, futuro, tienda, tema, vida, sodimac, modelo, cali, técnico"
84,"transporte, mujer, sector, carga, formación, colombia, construcción, dato, empresa, superintendencia"
85,"agua, ducha, litro, sanitario, consumo, lavar, gastar, incursionar, década, tiempo"
86,"empresa, caso, puesto, firma, lugar, innovación, energía, precio, opción, artículo"
87,"grupo, merco, colombiano, selección, responsable, compromiso, nutresa, responsabilidad, acompañar, bancolombio"
88,"google, banco, colombia, falabella, muñoz, inclusión, discriminación, garantizar, anunciar, pride"
89,"pintufresh, contenedor, aceleradora, corona, leer, comunicado, servicio, calificación, noticia, imposible"
90,"calificación, noticia, imposible, shanghái, india, estantería, duda, perspectiva, puerto, estable"
91,"grupo, billón, argo, acción, millón, programa, accionista, compañía, valor, negocio"
92,"acción, grupo, inversión, recompra, sura, mercado, empresa, generar, reforma, compañía"
93,"gato, país, gatio, gobierno, empresarial, forma, carolina, hotel, colombia, civil"
94,"millón, cemento, concreto, resultado, precio, incremento, compañía, comparación, argo, representar"
95,"comfama, empleo, formar, universidad, formación, alianza, mujer, inscrito, hombre, trujillo"
96,"antioquia, minero, nordeste, alimento, fundación, ayuda, caravana, activar, gobernación, secretaría"
97,"viva, verde, víver, policía, solidario, ortega, problemática, segovia, fraternidad, superficie"
98,"energía, empresa, colombia, subasta, proyecto, solar, renovable, energy, generación, eléctrico"
99,"entrar, viento, franco, diego, calda, funcionario, mañana, fuente, plazo, apuesta"
100,"vacunación, vacuna, colaborador, profesor, educación, salud, niño, dosis, prueba, estudiante"
101,"tot, club, carro, colombia, jueves, palma, país, llegar, viva, pasajero"
102,"petro, ecopetrol, hernández, agenciauto, acción, mercado, combustible, ganar, gasolina, precio"
103,"billón, empresa, ingreso, lugar, informe, sector, posición, desempeño, país, cifra"
104,"eléctrico, carga, vehículo, energía, estación, movilidad, bajo, ministerio, conducta, realizar"
105,"alfred, mantenimiento, mora, méxico, carro, mercadeo, alianza, plataforma, lograr, servicio"
106,"hidrógeno, energético, país, sector, energía, verde, proyecto, colombia, desarrollo, inversión"
107,"hidrógeno, energía, energético, colombia, producción, transición, país, puesto, tecnología, verde"
108,"natural, país, combustible, abastecimiento, demanda, gasoducto, sistema, transporte, reserva, ampliación"
109,"piura, alcance, natural, transporte, emisión, descarbonización, emisor, distribución, bidireccionalidad, mpcd"
110,"carnaval, barranquilla, categoría, ejemplar, colombiano, premio, radio, persona, romero, barquero"
111,"climático, cambio, jeffrey, sachs, espacio, economista, clima, asunto, foro, global"
112,"miranda, evidente, adaptar, idear él, atención, paula, relevancia, gonzález, corficolombián, experto"
113,"evidente, miranda, paula, cámara, permanente, duer, tengan, experto, calendario, pobreza"
114,"calendario, adaptar, tengan, permanente, idear él, sudamérica, evidente, gobernanza, miranda, tiempoel"
115,"evidente, tiempoel, relevancia, demostrar, miranda, tengan, idear él, representante, figura, rodrigo"
116,"millón, billón, valor, acción, empresa, crecer, prima, trimestre, crecimiento, bolsa"
117,"sura, contable, grupo, junta, kroll, firma, directivo, auditoría, análisis, fiscal"
118,"sistema, salud, mejor, colombiano, podcast, mundo, pesos, estar, domingo, radio"
119,"seguro, protección, renta, previsional, vitalicio, asulado, compañía, crear, ofrecer, pensional"
120,"decisión, cautelar, medida, grupo, decretar, medellín, juzgado, demanda, recurso, auto"
121,"popular, firme, notificar, expediente, surtir, tribunal, promovido, admisorio, superior, acto"
122,"popular, patiño, opinión, angela, integrante, tribunal, ratificar, admitir, lunes, interpuesto"
123,"popular, surtir, firme, adoptado, jurídico, ordenar, bernal, gestionar, estatutaria, interpuesto"
124,"árbol, congelado, millón, empresa, línea, siembra, marca, apostar, colombia, justo"
125,"empezar, proceso, giraldo, laboral, generador, mostrar, viva, inflación, éxito, reforma"
