index,Topicos
1131,52
1132,52
1133,48
1134,46
1135,42
1136,44
1137,48
1138,49
1139,48
1140,42
1141,52
1142,48
1513,51
1514,50
1515,45
1516,42
1517,45
1518,43
1519,46
1520,49
1521,51
1522,49
1523,46
1524,44
1525,47
1526,46
1527,46
1528,43
1529,50
1530,46
1531,52
1532,47
1533,52
1534,50
1562,48
1624,51
1625,48
1626,51
1627,48
1628,47
1629,49
1630,48
1631,48
1632,50
1633,51
1634,47
1635,47
1636,52
1637,48
1638,51
1639,51
1640,48
1641,42
1642,47
1876,45
1877,52
1878,49
1879,45
1880,43
1881,51
1882,48
1883,47
1884,47
1885,52
1962,45
1963,45
1964,45
1965,47
1966,47
1967,52
2082,45
2083,48
2084,47
2085,43
2086,46
2087,42
2088,48
2089,47
2090,49
2091,47
2092,50
2093,51
2094,51
2095,42
2096,46
2097,50
2098,50
2099,46
2100,46
2101,50
2102,46
2103,47
2104,49
2105,44
2106,43
2107,51
2108,45
2109,42
2110,49
2111,49
2112,52
2113,47
2114,46
2115,50
2116,46
2117,50
2118,45
2119,47
2120,50
2121,49
2122,43
2123,47
2124,51
2125,45
2126,48
2127,46
2128,45
2129,43
2130,43
2131,46
117,53
118,54
119,54
120,53
121,53
122,53
123,53
124,53
125,54
126,53
127,53
128,53
129,53
130,53
131,53
132,53
133,53
134,53
135,53
136,53
1056,53
1057,55
1058,54
1059,54
1060,54
1061,54
1062,55
1063,54
1064,54
1065,53
1066,53
1067,54
1068,53
1069,54
1070,54
1071,54
1072,53
1073,54
1074,54
1075,55
1076,54
1077,53
1078,54
1079,53
1080,54
1081,54
1082,53
1083,54
1084,53
1085,53
1086,53
1535,55
1536,54
1537,55
1538,53
1539,53
1540,54
1541,54
1542,54
1543,54
1544,54
1545,55
1546,55
1547,53
1548,54
1549,53
1550,55
1551,55
1552,53
1553,53
1554,53
1555,54
1556,53
1557,53
1558,54
1886,53
1887,54
1888,53
1889,54
1890,53
1891,53
1892,53
1893,54
1894,54
1895,55
1896,53
1897,55
1898,54
1899,55
1900,55
1968,54
1969,53
1970,53
1971,55
1972,54
1973,54
1974,53
1975,53
1976,55
1977,54
1978,53
186,61
187,59
188,56
189,58
190,59
191,60
192,62
193,57
194,62
195,57
196,59
197,62
198,62
199,60
200,58
201,56
202,61
203,58
204,56
205,57
206,57
207,59
208,62
209,60
210,57
211,59
212,56
213,59
214,59
215,60
216,56
217,60
218,56
219,56
220,58
221,56
222,57
223,58
224,57
225,59
226,58
227,56
228,56
229,56
230,57
231,62
232,57
233,62
1087,59
1088,58
1165,56
1166,62
1167,62
1168,57
1169,56
1170,59
1171,59
1172,57
1173,57
1174,58
1175,58
1176,58
1177,56
1178,58
1179,58
1180,57
1181,58
1182,57
1183,59
1184,57
1185,58
1186,56
1187,59
1662,57
1663,61
1664,61
1665,61
1666,56
1667,56
1668,60
1669,62
1670,58
1671,60
1672,62
1673,61
1674,59
1675,58
1676,62
1677,57
1678,58
1679,62
1680,56
2032,57
2033,60
2034,58
2035,56
2036,58
2037,61
2038,59
2039,57
2040,58
2041,57
2042,58
2043,58
2044,58
2045,57
2046,59
2047,57
2048,56
2049,58
2050,57
2051,58
2052,58
2053,58
2054,62
2055,57
2056,60
2057,58
2058,58
2059,58
2060,57
2061,57
2062,59
2063,56
2064,58
2065,56
2066,57
2067,58
2068,57
2069,59
2070,58
2071,58
2072,58
2073,56
2074,58
2075,58
2076,58
2077,61
2078,58
2079,56
2080,57
2081,58
234,66
235,66
236,65
237,68
238,69
239,68
240,63
241,67
242,63
243,70
244,66
245,71
246,73
247,64
248,66
249,73
250,64
251,67
252,64
253,67
254,70
255,71
256,64
257,70
258,66
259,66
260,73
261,73
262,63
263,66
264,65
265,68
266,68
267,64
268,66
269,66
270,70
271,69
272,64
273,68
274,64
275,69
276,73
277,68
278,69
279,66
280,64
281,69
282,66
1188,67
1189,66
1190,67
1191,64
1192,67
1193,65
1194,65
1195,67
1196,67
1197,70
1198,67
1199,67
1200,67
1201,67
1202,72
1203,65
1204,67
1205,67
1206,71
1207,67
1208,65
1209,67
1210,69
1211,73
1681,67
1682,64
1683,68
1684,66
1685,64
1686,67
1687,71
1688,73
1689,63
1690,66
1691,63
1692,69
1693,70
1694,66
1695,64
1696,64
1697,73
1698,66
1699,73
283,76
284,74
285,77
286,76
287,79
288,74
289,75
290,82
291,82
292,76
293,75
294,79
295,78
296,79
297,79
298,78
299,79
300,77
301,79
302,81
303,82
304,78
305,75
306,74
307,82
308,77
309,80
310,74
311,78
312,75
313,81
314,75
315,80
