,Palabra,Frecuencia,ID_Articulo,Entidad
262,medioambiental,1,1,0
263,empresa,6,1,0
264,certificada,1,1,0
265,carbono,3,1,0
266,sede,1,1,0
267,bogotá,1,1,1
268,adquirió,1,1,0
269,participación,1,1,0
270,impulsó,1,1,0
271,transacción,2,1,0
272,millones,3,1,0
273,compañía,3,1,0
274,opera,1,1,0
275,redes,1,1,0
276,eléctricas,1,1,0
277,torres,1,1,0
278,telecomunicaciones,1,1,0
279,autopistas,1,1,0
280,países,1,1,0
281,latinoamericanos,1,1,0
282,brasil,1,1,1
283,chile,1,1,1
284,permite,2,1,0
285,beneficiarse,1,1,0
286,flujos,1,1,0
287,ingresos,2,1,0
288,predecibles,1,1,0
289,compensando,1,1,0
290,parcialmente,1,1,0
291,volatilidad,1,1,0
292,precios,2,1,0
293,petróleo,2,1,0
294,general,1,1,0
295,penalizan,1,1,0
296,emisores,1,1,0
297,costos,2,1,0
298,endeudamiento,1,1,0
299,altos,1,1,0
300,cumplen,1,1,0
301,métricas,1,1,0
302,medioambientales,1,1,0
303,sociales,1,1,0
304,gobernanza,1,1,0
305,corporativa,1,1,0
306,diferencia,1,1,0
307,verdes,1,1,0
308,empresas,1,1,0
309,utilizar,1,1,0
310,operación,1,1,0
311,planes,1,1,0
312,generales,1,1,0
313,financiación,3,1,0
314,ventas,1,1,0
315,aumentando,2,1,0
316,siguen,1,1,0
317,relativamente,1,1,0
318,pequeña,1,1,0
319,emisión,1,1,0
320,emitió,1,1,0
321,años,1,1,0
322,amortizar,1,1,0
323,vencimientos,2,1,0
324,deuda,2,1,0
325,incluida,3,1,0
326,porción,1,1,0
327,préstamo,1,1,0
328,utilizado,1,1,0
329,comprar,1,1,0
330,enero,1,1,0
331,comunicado,1,1,0
332,tasa,1,1,0
333,doble,1,1,0
334,pagó,1,1,0
335,emitir,1,1,0
336,vencimiento,1,1,0
337,similar,1,1,0
338,octubre,1,1,0
339,principales,2,1,0
340,bancos,1,1,0
341,centrales,1,1,0
342,reserva,1,1,0
343,federal,1,1,0
344,iniciaran,1,1,0
345,serie,1,1,0
346,alzas,1,1,0
347,tasas,1,1,0
348,apetito,1,1,0
349,reprimido,1,1,0
350,inversionistas,1,1,0
351,transacciones,1,1,0
352,seguiremos,1,1,0
353,monitoreando,1,1,0
354,mercado,2,1,0
355,vemos,1,1,0
356,oportunidades,1,1,0
357,dependiendo,1,1,0
358,evolucione,1,1,0
359,abordaremos,1,1,0
360,semana,1,1,0
361,cayeron,1,1,0
362,informara,1,1,0
363,presidente,1,1,0
364,felipe,1,1,0
365,bayón,1,1,0
366,dejaba,1,1,0
367,cargo,1,1,0
368,presión,1,1,0
369,mandatario,1,1,0
370,colombiano,1,1,0
371,gustavo,1,1,0
372,petro,1,1,0
373,país,1,1,0
374,haga,1,1,0
375,transición,2,1,0
376,energías,1,1,0
377,renovables,1,1,0
378,incluye,1,1,0
379,otorgar,1,1,0
380,contratos,1,1,0
381,exploración,1,1,0
382,permitiendo,1,1,0
383,continúen,1,1,0
384,acuerdos,1,1,0
385,estrategia,3,1,0
386,divisas,1,1,0
387,busca,1,1,0
388,equilibrar,1,1,0
389,necesidad,2,1,0
390,valor,1,1,0
391,sostenible,1,1,0
392,corto,1,1,0
393,mediano,1,1,0
394,plazo,2,1,0
395,diversificación,1,1,0
396,reducción,1,1,0
397,huella,1,1,0
398,discutido,1,1,0
399,gobierno,2,1,0
400,sentido,1,1,0
401,amplio,1,1,0
402,responde,1,1,0
403,prioridades,1,1,0
404,discusión,2,1,0
405,ritmo,1,1,0
406,llevarse,1,1,0
407,cabo,1,1,0
408,inversiones,1,1,0
409,contratar,1,1,0
410,alguien,1,1,0
411,capacidades,1,1,0
412,profesionales,1,1,0
413,ampliamente,1,1,0
414,reconocidas,1,1,0
415,calificación,1,1,0
416,crediticia,1,1,0
417,superior,1,1,0
418,matriz,1,1,0
419,potencialmente,1,1,0
420,acceder,1,1,0
421,baratos,1,1,0
422,fitch,1,1,0
423,ratings,1,1,0
424,califica,2,1,0
425,niveles,1,1,0
426,investors,1,1,0
427,service,1,1,0
428,asigna,1,1,0
429,nota,1,1,0
430,considerar,1,1,0
431,obtención,1,1,0
432,tipos,1,1,0
433,llamada,1,1,0
434,proyectos,2,1,0
435,relacionados,1,1,0
436,tecnologías,2,1,0
437,emergentes,1,1,0
438,producción,1,1,0
439,hidrógeno,1,1,0
440,secuestro,1,1,0
441,actualmente,1,1,0
442,centrada,1,1,0
443,estructuración,1,1,0
444,búsqueda,1,1,0
445,socios,1,1,0
446,incentivos,1,1,0
447,gubernamentales,1,1,0
448,seguirá,1,1,0
449,presencia,2,1,0
450,limpias,1,1,0
451,ampliando,1,1,0
452,unidos,1,1,0
453,asia,1,1,1
454,mercados,1,1,0
455,exportación,1,1,0
456,abrió,1,1,0
457,oficina,1,1,0
458,comercial,1,1,0
459,materias,1,1,0
460,primas,1,1,0
461,singapur,1,1,1
462,proceso,1,1,0
463,abrir,1,1,0
464,houston,1,1,1
465,martes,1,2,0
466,mercado,1,2,0
467,cerró,2,2,0
468,índice,1,2,0
469,msci,1,2,0
470,colcap,1,2,0
471,puntos,1,2,0
472,significó,1,2,0
473,incremento,1,2,0
474,variación,3,2,0
475,absoluta,2,2,0
476,porcentual,3,2,0
477,frente,1,2,0
478,inicio,1,2,0
479,acciones,2,2,0
480,bancolombia,2,2,1
481,preferencial,1,2,0
482,lideraron,1,2,0
483,ganancias,1,2,0
484,bolsa,1,2,0
485,valores,1,2,0
486,colombia,1,2,0
487,renta,1,2,0
488,variable,1,2,0
489,negociadas,1,2,0
490,millones,7,2,0
491,precio,2,2,0
492,cierre,2,2,0
493,acción,2,2,0
494,lugar,1,2,0
495,ubicó,1,2,0
496,ecopetrol,1,2,0
497,vendieron,1,2,0
498,negociada,2,2,0
499,bcolombia,1,2,1
500,transacciones,1,2,0
501,cuarta,1,2,0
502,valorada,1,2,0
503,grupo,1,2,0
504,aval,1,2,0
505,contracción,1,2,0
506,banco,1,2,0
507,occidente,1,2,0
508,transada,1,2,0
509,movimientos,1,2,0
510,ecopetrol,2,3,0
511,anunció,2,3,0
512,resultados,1,3,0
513,oferta,2,3,0
514,recompra,2,3,0
515,enero,1,3,0
516,valor,1,3,0
517,millones,2,3,0
518,monto,2,3,0
519,principal,1,3,0
520,agregado,2,3,0
521,bonos,1,3,0
522,senior,1,3,0
523,emitido,1,3,0
524,vencimiento,1,3,0
525,septiembre,1,3,0
526,agente,1,3,0
527,depositario,1,3,0
528,ayer,1,3,0
529,hora,2,3,0
530,york,2,3,0
531,recibieron,1,3,0
532,ofertas,1,3,0
533,comunicado,1,3,0
534,seguirá,1,3,0
535,vigente,1,3,0
536,febrero,1,3,0
537,compañía,1,3,0
538,caso,1,3,0
539,extienda,1,3,0
540,finalice,1,3,0
541,fecha,2,3,0
542,acordada,1,3,0
543,anunciará,1,3,0
544,mercado,1,3,0
545,petrolera,1,3,0
546,estatal,1,3,0
547,señalado,1,3,0
548,tenedores,1,3,0
549,recibirán,1,3,0
550,intereses,2,3,0
551,cobrados,1,3,0
552,pagados,1,3,0
553,pago,1,3,0
554,liquidación,1,3,0
555,aplicable,1,3,0
556,tema,1,4,0
557,presidente,2,4,0
558,petro,1,4,0
559,respuesta,1,4,0
560,contundente,1,4,0
561,omnicomprensiva,1,4,0
562,absoluta,1,4,0
563,enciclopédico,1,4,0
564,permitió,2,4,0
565,vacilar,1,4,0
566,provocar,1,4,0
567,renuncia,1,4,0
568,felipe,1,4,1
569,bayón,1,4,0
570,ecopetrol,1,4,0
571,arrogarse,1,4,0
572,funciones,1,4,0
573,instituciones,2,4,0
574,enteras,1,4,0
575,comisiones,1,4,0
576,regulación,2,4,0
577,servicios,2,4,0
578,públicos,2,4,0
579,domiciliarios,2,4,0
580,plumazo,1,4,0
581,empresa,2,4,0
582,país,1,4,0
583,técnica,1,4,0
584,quedaron,1,4,0
585,merced,1,4,0
586,interés,1,4,0
587,general,1,4,0
588,encarnado,1,4,0
589,único,1,4,0
590,legítimo,1,4,0
591,muestra,2,4,0
592,fatal,2,4,0
593,arrogancia,2,4,0
594,descrita,1,4,0
595,friedrich,1,4,0
596,hayek,3,4,0
597,obra,2,4,0
598,nombre,1,4,0
599,expuso,1,4,0
600,errores,2,4,0
601,socialismo,3,4,0
602,llevan,1,4,0
603,fracaso,1,4,0
604,mundo,2,4,0
605,real,1,4,0
606,orden,6,4,0
607,determinado,1,4,0
608,razón,5,4,0
609,fácticamente,1,4,0
610,imposible,1,4,0
611,implica,1,4,0
612,destrucción,1,4,0
613,tradiciones,1,4,0
614,relaciones,2,4,0
615,espontáneas,1,4,0
616,forjaron,1,4,0
617,extendido,4,4,0
618,humanidad,1,4,0
619,prosperar,1,4,0
620,económicamente,1,4,0
621,aumentar,1,4,0
622,exponencialmente,1,4,0
623,imponerse,1,4,0
624,pretensión,1,4,0
625,planificación,1,4,0
626,centralizada,2,4,0
627,creado,1,4,0
628,arruina,1,4,0
629,depende,1,4,0
630,interrelaciones,1,4,0
631,evidentes,1,4,0
632,incompresibles,1,4,0
633,elementos,2,4,0
634,propiedad,1,4,0
635,privada,1,4,0
636,transmisión,1,4,0
637,consentida,1,4,0
638,dominio,1,4,0
639,cumplimiento,1,4,0
640,compromisos,1,4,0
641,especialización,1,4,0
642,trabajo,1,4,0
643,comercio,1,4,0
644,competencia,1,4,0
645,formación,1,4,0
646,descentralizada,1,4,0
647,precios,1,4,0
648,información,1,4,0
649,dispersa,1,4,0
650,advierte,1,4,0
651,comprensión,1,4,0
652,control,1,4,0
