,Palabra,Frecuencia,ID_Articulo
210,"centrales, subieron",1,0
211,"subieron, magnitud",1,0
212,"magnitud, dando",1,0
213,"dando, menor",1,0
214,"menor, percepción",1,0
215,"percepción, riesgo",1,0
216,"riesgo, favorecen",1,0
217,"favorecen, compras",1,0
218,"compras, países",1,0
219,"países, emergentes",1,0
220,"emergentes, colombia",1,0
221,"colombia, paga",1,0
222,"paga, tasas",1,0
223,"tasas, altas",1,0
224,"altas, dicha",1,0
225,"dicha, duró",1,0
226,"duró, moneda",1,0
227,"moneda, abrió",1,0
228,"abrió, viernes",1,0
229,"viernes, repunte",1,0
230,"repunte, pesos",1,0
231,"pesos, frente",1,0
232,"frente, vigente",1,0
233,"vigente, comportamiento",1,0
234,"comportamiento, jueves",1,0
235,"jueves, vimos",1,0
236,"vimos, demanda",1,0
237,"demanda, dólares",1,0
238,"dólares, acciones",1,0
239,"acciones, unidos",1,0
240,"unidos, valorizado",1,0
241,"valorizado, significativamente",1,0
242,"significativamente, apetito",1,0
243,"apetito, inversiones",1,0
244,"inversiones, mercados",1,0
245,"mercados, acciones",1,0
246,"acciones, globales",1,0
247,"globales, indica",1,0
248,"indica, acciones",1,0
249,"acciones, tecnológicas",1,0
250,"tecnológicas, jugando",1,0
251,"jugando, papel",1,0
252,"papel, importante",1,0
253,"importante, comportamiento",1,0
254,"dólar, cierre",1,0
255,"cierre, conveniente",1,0
256,"conveniente, sacar",1,0
257,"sacar, préstamo",1,0
258,"préstamo, invertir",1,0
259,"invertir, comportamientos",1,0
260,"comportamientos, dólar",1,0
261,"dólar, personas",1,0
262,"personas, verse",1,0
263,"verse, influenciadas",1,0
264,"influenciadas, invertir",1,0
265,"invertir, dólares",1,0
266,"dólares, piensan",1,0
267,"piensan, adquirir",1,0
268,"adquirir, créditos",1,0
269,"créditos, libre",1,0
270,"libre, inversión",2,0
271,"inversión, expertos",1,0
272,"expertos, consideran",1,0
273,"consideran, medida",1,0
274,"medida, peligrosa",1,0
275,"peligrosa, efectivamente",1,0
276,"efectivamente, comprueba",1,0
277,"comprueba, datos",1,0
278,"datos, adquirir",1,0
279,"adquirir, deuda",1,0
280,"deuda, altas",1,0
281,"altas, tasas",1,0
282,"tasas, moneda",1,0
283,"moneda, volátil",1,0
284,"volátil, resultar",1,0
285,"resultar, pérdidas",1,0
286,"pérdidas, operación",1,0
287,"operación, arriesgada",1,0
288,"arriesgada, instancia",1,0
289,"instancia, préstamos",1,0
290,"préstamos, libre",1,0
291,"inversión, actualmente",1,0
292,"actualmente, tasas",1,0
293,"tasas, colocación",1,0
294,"colocación, elevadas",1,0
295,"elevadas, mercado",1,0
296,"mercado, capital",1,0
297,"capital, destina",1,0
298,"destina, compra",1,0
299,"compra, dólares",1,0
300,"dólares, idea",1,0
301,"idea, divisa",1,0
302,"divisa, subir",1,0
303,"subir, básicamente",1,0
304,"básicamente, moneda",1,0
305,"moneda, aire",1,0
306,"aire, asegura",1,0
307,"asegura, alexander",1,0
308,"alexander, ríos",1,0
309,"ríos, fundador",1,0
310,"fundador, inverxia",1,0
311,"ecopetrol, petrolera",1,1
312,"petrolera, estatal",1,1
313,"estatal, colombiana",1,1
314,"colombiana, vendió",1,1
315,"vendió, bonos",1,1
316,"bonos, dólares",1,1
317,"dólares, considerando",1,1
318,"considerando, oferta",1,1
319,"oferta, bonos",1,1
320,"bonos, vinculados",3,1
321,"vinculados, sustentabilidad",3,1
322,"sustentabilidad, unidad",1,1
323,"unidad, infraestructura",1,1
324,"infraestructura, transmisión",1,1
325,"transmisión, energía",1,1
326,"energía, interconexión",1,1
327,"interconexión, eléctrica",1,1
328,"eléctrica, grado",1,1
329,"grado, inversión",3,1
330,"inversión, hito",1,1
331,"hito, bono",1,1
332,"bono, vinculado",1,1
333,"vinculado, sustentabilidad",1,1
